eighthBlock,Source,Context,Max Line Width,English,Francais,German
goGameModeDesc,,Menu,,::Survival MP::\nFigh.,,
goGameName,,Menu,,Game Name:,,
goGameNameDesc,,Menu,,"Name of the game, used f\nThe Game Name you give the world is used to set the random world seed.",,
goGameWorld,,Menu,,Game World:,,
goGameWorldDesc,,Menu,,Choose the world youed.,,
goHigh,,Menu,,High,,
goInfinite,,Menu,,Infinite,,
goLandClaimDeadZone,,Menu,,Claim Deadzone,,
goLandClaimDeadZoneDesc,,Menu,,New land claimm as measured flagstone to flagstone.,,
goLandClaimDeadZoneValue,,Menu,,{0} blocks.,,
goLandClaimDeadZoneValues,,Menu,,{0} blocks.,,
goLandClaimDecayMode,,Menu,,Claim Decay Mode,,
goLandClaimDecayModeDesc,,Menu,,How a land claim's hardness modifier decays over time.,,
goLandClaimDecayModeFast,,Menu,,Fast,,
goLandClaimDecayModeNone,,Menu,,None,,
goLandClaimDecayModeSlow,,Menu,,Slow,,
goLandClaimDecayModeValue,,Menu,,{0},,
goLandClaimDecayModeValues,,Menu,,{0},,
goLandClaimExpiryTime,,Menu,,Claim Duration,,
goLandClaimExpiryTimeDesc,,Menu,,The number of dams expire.,,
goLandClaimExpiryTimeValue,,Menu,,{0} days.,,
goLandClaimExpiryTimeValues,,Menu,,{0} days.,,
goLandClaimOfflineDurabilityModifier,,Menu,,Claim Health Offline,,
goLandClaimOfflineDurabilityModifierDesc,,Menu,,The hardnesfline.,,
goLandClaimOfflineDurabilityModifierValue,,Menu,,{0}x,,
goLandClaimOfflineDurabilityModifierValues,,Menu,,{0}x,,
goLandClaimOnlineDurabilityModifier,,Menu,,Claim Health Online,,
goLandClaimOnlineDurabilityModifierDesc,,Menu,,Thently online.,,
goLandClaimOnlineDurabilityModifierValue,,Menu,,{0}x,,
goLandClaimOnlineDurabilityModifierValues,,Menu,,{0}x,,
goLandClaimSize,,Menu,,Claim Size,,
goLandClaimSizeDesc,,Menu,,A land claik.,,
goLandClaimSizeValue,,Menu,,{0} blocks.,,
goLandClaimSizeValues,,Menu,,{0} blocks.,,
goLootAbundance,,Menu,,Loot Abundance,,
goLootAbundanceDesc,,Menu,,The percentage of loot to spawn.,,
goLootAbundanceValue,,Menu,,{0}%,,
goLootAbundanceValues,,Menu,,{0}%,,
goLootRespawnDays,,Menu,,Loot Respawn Time,,
goLootRespawnDaysDesc,,Menu,,The amount of dayaround.,,
goLootRespawnDaysValue,,Menu,,{0} Day,,
goLootRespawnDaysValues,,Menu,,{0} Days,,
goLootTimer,,Menu,,Loot Timer,,
goLootTimerDesc,,Menu,,This is the uble speed.,,
goLow,,Menu,,Low,,
goMatchLength,,Menu,,Match Length:,,
goMatchLengthDesc,,Menu,,Match Lengthill last.,,
goMaxPlayers,,Menu,,Max Players:,,
goMaxPlayersDesc,,Menu,,Maximum amountur game.,,
goMedium,,Menu,,Medium,,
goMinute,,Menu,,{0} Minute,,
goMinutes,,Menu,,{0} Minutes,,
goNightPercentage,,Menu,,Perc. of Night,,
goNightPercentageDesc,,Menu,,The pengths.,,
goNightPercentageValue,,Menu,,{0}%,,
goNightPercentageValues,,Menu,,{0}%,,
goNone,,Menu,,Nothing,,
goNormal,,Menu,,Normal,,
goNoTimer,,Menu,,None,,
goOff,,Menu,,Off,,
goOn,,Menu,,On,,
goPassword,,Menu,,Game Password,,
goPasswordDesc,,Menu,,"If set, players me.",,
goPersistentCharacters,,Menu,,Persistent Profiles,,
goPersistentCharactersDesc,,Menu,,Plfile.,,
goPlayer,,Menu,,{0} Player,,
goPlayerDamageGiven,,Menu,,Damage Given,,
goPlayerDamageGivenDesc,,Menu,,"This is igh 200%",,
goPlayerDamageRecieved,,Menu,,Damage Received,,
goPlayerDamageRecievedDesc,,Menu,,"Thisgh 200%",,
goPlayers,,Menu,,{0} Players,,
goPort,,Menu,,Game Port:,,
goPortDesc,,Menu,,The port number others use to connect to your server.,,
goPublic,,Menu,,Public/Private,,
goPublicDesc,,Menu,,Sets if game is reg your game.,,
goPublicOff,,Menu,,Private Game,,
goPublicOn,,Menu,,Public Game,,
goRebuildMap,,Menu,,Rebuild Map:,,
goRebuildMap1,,Menu,,Never,,
goRebuildMap2,,Menu,,End Of Match,,
goRebuildMap3,,Menu,,Hourly,,
goRebuildMap4,,Menu,,Daily,,
goRebuildMapDesc,,Menu,,Map Rebuild Timer.,,
goSecond,,Menu,,{0} Second,,
goSeconds,,Menu,,{0} Seconds,,
goShowPlayersOnMap,,Menu,,Show Friend Icons:,,
goShowPlayersOnMapDesc,,Menu,,On:\nSons on the main map or minimap.,,
goToolbelt,,Menu,,Toolbelt Only,,
goUnlimited,,Menu,,Unlimited,,
goVeryHigh,,Menu,,Very High,,
goVeryLow,,Menu,,Very Low,,
goZombiePlayers,,Menu,,Zombie Players:,,
goZombiePlayersDesc,,Menu,,The ability for players to choose to join as a zombie.,,
goZombiesRun,,Menu,,Zombies Run,,
goZombiesRunDesc,,Menu,,Sets zombie run night.,,
goZRAlways,,Menu,,Always Run,,
goZRDefault,,Menu,,Default,,
goZRNever,,Menu,,Never Run,,
ingredient,,Menu,,Ingredient,,
lblSettingsAvailability,,Menu,,*Setting neerunning,,
lblAmbienceVolume,,Menu,,Ambient sound volume:,,
lblVsync,,Menu,,V-Sync:,,
lblHudSize,,Menu,,HUD Size:,,
lblAntiAliasing,,Menu,,Anti Aliasing:,,
lblCheckingVersionWait,,Menu,,Cheeeded),,
lblChunkViewDistance,,Menu,,View Distance:,,
lblConnectToServerIP,,Menu,,Connect to Server IP:,,
lblConnectToServerPort,,Menu,,Port:,,
lblDuplicateGame,,Menu,,Duplicate Game Name!,,
lblEnterLoginInfo,,Menu,,Plete:,,
lblEntities,,Menu,,Entities:,,
lblFOV,,Menu,,Field of View:,,
lblFuel,,Menu,,Fuel,,
lblFullscreen,,Menu,,Fullscreen,,
lblGameName,,Menu,,Game Name:,,
lblLanguage,,Menu,,Language:,,
lblLOD,,Menu,,LOD Distance,,
lblHudOpacity,,Menu,,HUD Opacity:,,
lblHudOptions,,Menu,,HUD Options,,
lblMetal,,Menu,,Material,,
lblMicrophoneGain,,Menu,,Microphone gain:,,
lblMold,,Menu,,Mold,,
lblMouseSensitiviy,,Menu,,Mouse sensitivity:,,
lblMusicVolume,,Menu,,Music volume:,,
lblName,,Menu,,Name:,,
lblNoCreateWorld,,Menu,,Create Woses!,,
lblOpening,,Menu,,Searching,,
lblOverallVolume,,Menu,,Overall sound volume:,,
lblPassword,,Menu,,Password:,,
lblPressBtn,,Menu,,Press Button,,
lblResolution,,Menu,,Resolution:,,
lblSavedGames,,Menu,,Saved Games:,,
lblSeed,,Menu,,Seed:,,
lblSelectWorld,,Menu,,Select a World:,,
lblServerPort,,Menu,,Server Port:,,
lblShadowDistance,,Menu,,Shadows Distance:,,
lblSize,,Menu,,Size:,,
lblSpawnNearBedroll,,Menu,,Spawn near my bedroll,,
lblSpawnOnBedroll,,Menu,,Spawn on my bedroll,,
lblSteamAccountInfo,,Menu,,Steam Account Information:,,
lblTextureQuality,,Menu,,Texture Quality:,,
lblReflectionQuality,,Menu,,Reflection Quality:,,
lblReflectionDistance,,Menu,,Reflection Distance:,,
lblGrassDistance,,Menu,,Grass Distance:,,
lblMotionBlur,,Menu,,Motion Blur:,,
lblSkyQuality,,Menu,,Sky Quality:,,
lblWaterQuality,,Menu,,Water Quality:,,
lblTreeQuality,,Menu,,Tree Quality:,,
lblUsername,,Menu,,User name:,,
lblUtensil,,Menu,,Cookware,,
lblVersionCheck,,Menu,,- Version Check -,,
lblVoiceVolume,,Menu,,Voice volume:,,
msgServer1,,Menu,,Server disconnected you:,,
msgServer12,,Menu,,Your account '{0}' is nwer!,,
msgServer19,,Menu,,The player name '{0}' already exe,,
msgServer23,,Menu,,You are not on the whitelist of the server!,,
msgServer25,,Menu,,Denying command '{0}' from client {1},,
msgServer4,,Menu,,Game Version Mismatch: you have '{0}' and server has '{1}',,
msgServer6,,Menu,,Too many players on the server! Allowed: {0},,
msgServer7,,Menu,,'{0}' has been banned until {1}.\nReason: {2},,
msgServer8,,Menu,,Denying player with duplicate name '{0}',,
passcodeAccepted,,Menu,,Passcode Accepted,,
passcodeRejected,,Menu,,Passcode Rejected,,
passcodeRemoved,,Menu,,Passcode Access Disabled,,
passcodeSet,,Menu,,Passcode Changed,,
repairWeapon,,Menu,,Repair Weapon,,
scrapRepair,,Menu,,Scrap and Repair,,
searchResults,,Menu,,Search Results,,
searchText,,Menu,,Search...,,
spnZombieHordeApproaching,,Menu,,NEW HORDE,,
tooltipLocked,,Menu,,<{0}> Use {1}(Locked),,
tooltipUnlocked,,Menu,,<{0}> Use {1}(Unlocked),,
useBlock,,Menu,,<{0}> Use {1},,
uses,,Menu,,Uses,,
vacText,,Menu,,This is an EasyAntiChek/ban.,,
vacTitle,,Menu,,EasyAntiCheat Warning,,
armLength,,Menu UMA,,Arm Length,,
armWidth,,Menu UMA,,Arm Width,,
belly,,Menu UMA,,Belly,,
breastSize,,Menu UMA,,Chest Size,,
btnOptionsProfiles,,Menu UMA,,Player Profiles,,
btnRandomize,,Menu UMA,,Randomize,,
btnSave,,Menu UMA,,Save,,
cheekPosition,,Menu UMA,,Cheek Position,,
cheekSize,,Menu UMA,,Cheek Size,,
chinPosition,,Menu UMA,,Chin Position,,
chinPronounced,,Menu UMA,,Chin Pronounced,,
chinSize,,Menu UMA,,Chin Size,,
earsPosition,,Menu UMA,,Ear Position,,
earsRotation,,Menu UMA,,Ear Rotation,,
earsSize,,Menu UMA,,Ear Size,,
eyeColor,,Menu UMA,,Eye Color,,
eyeRotation,,Menu UMA,,Eye Rotation,,
eyeSize,,Menu UMA,,Eye Size,,
feetSize,,Menu UMA,,Foot Size,,
forearmLength,,Menu UMA,,Forearm Length,,
forearmWidth,,Menu UMA,,Forearm Width,,
foreheadPosition,,Menu UMA,,Forehead Position,,
foreheadSize,,Menu UMA,,Forehead Size,,
gluteusSize,,Menu UMA,,Gluteus Size,,
hairColor,,Menu UMA,,Hair Color,,
handsSize,,Menu UMA,,Hand Size,,
headSize,,Menu UMA,,Head Size,,
headWidth,,Menu UMA,,Head Width,,
height,,Menu UMA,,Height,,
jawsPosition,,Menu UMA,,Jaw Position,,
jawsSize,,Menu UMA,,Jaw Size,,
lblConfirmProfileDelete,,Menu UMA,,Are yofile?,,
lblCreateProfile,,Menu UMA,,Create New,,
lblDelete,,Menu UMA,,Delete,,
lblEdit,,Menu UMA,,Edit,,
lblFemale,,Menu UMA,,Female,,
lblMale,,Menu UMA,,Male,,
lblNoProfile,,Menu UMA,,You do not haveselect one.,,
lblOk,,Menu UMA,,Ok,,
lblProfileName,,Menu UMA,,Profile Name,,
legSeparation,,Menu UMA,,Leg Separation,,
legsSize,,Menu UMA,,Leg Size,,
lipsSize,,Menu UMA,,Lip Size,,
lowCheekPosition,,Menu UMA,,Lower Cheek Position,,
lowCheekPronounced,,Menu UMA,,Lower Cheek Pronounced,,
lowerMuscle,,Menu UMA,,Lower Muscle,,
lowerWeight,,Menu UMA,,Lower Weight,,
mandibleSize,,Menu UMA,,Mandible Size,,
mouthSize,,Menu UMA,,Mouth Size,,
neckThickness,,Menu UMA,,Neck,,
noseCurve,,Menu UMA,,Nose Curve,,
noseFlatten,,Menu UMA,,Nose Flatten,,
noseInclination,,Menu UMA,,Nose Inclination,,
nosePosition,,Menu UMA,,Nose Position,,
nosePronounced,,Menu UMA,,Nose Pronounced,,
noseSize,,Menu UMA,,Nose Size,,
noseWidth,,Menu UMA,,Nose Width,,
skinColor,,Menu UMA,,Skin Color,,
upperMuscle,,Menu UMA,,Upper Muscle,,
upperWeight,,Menu UMA,,Upper Weight,,
waist,,Menu UMA,,Waist,,
notHungry,,Tooltip,,You are not hungry,,
notThirsty,,Tooltip,,You are not thirsty,,
ttInventoryFull,,Tooltip,,"Unable to craft '{0}', inventory is full!",,
ttBreakdownWeapon,,Tooltip,,"Поместите оруего детали",,
ttCampfireCannotCook,,Tooltip,,Cannot cook this item.,,
ttCampfireFuelRequired,,Tooltip,,"Нужноёр",,
ttCampfireIngredientsRequired,,Tooltip,,"Нужны все товить еду",,
ttCampfireUtensilRequired,,Tooltip,,"Палка, Кастрюля, Гриль и чтобы приготовить еду",,
ttCharacterLevelHeader,,Tooltip,,Уровень достигнут,,
ttCharacterLevelBody,,Tooltip,,{0}/{1} XP\n,,
ttForgeFuelRequired,,Tooltip,,Требует кузнице,,
ttForgeMetalRequired,,Tooltip,,Нужно больше Материала для отливки предмета,,
ttForgeMoldRequired,,Tooltip,,"Требуется Шаблон, чтобы отлить предмет",,
ttLevelUp,,Tooltip,,Level Up! Ваш уровень повысился {0},,
ttMapSelectSpawnPoint,,Tooltip,,"Если выбесь недалеко",,
ttMapUnSelectSpawnPoint,,Tooltip,,"Если выберете, то Вы окажетесь дома",,
ttRepairWeapon,,Tooltip,,"Поместите сломанное оружие и ремкомплект на сетке, чтобы починить оружие",,
ttRepairToolsMissing,,Tooltip,,"Unable to repair this item, missing these tools:",,
ttScrapMetalBrass,,Tooltip,,"Поместите латунные предметы на сетку крафта, чтобы получить лом латуни",,
ttScrapMetalIron,,Tooltip,,"Поме получить металлолом",,
ttScrapMetalLead,,Tooltip,,"Поместом свинца",,
ttGFXSET_Resolution_h,,Tooltip,,Display Resolution,,
ttGFXSET_Resolution_b,,Tooltip,,Sets the screen e Impact: Medium\n,,
ttGFXSET_Fullscreen_h,,Tooltip,,Fullscreen,,
ttGFXSET_Fullscreen_b,,Tooltip,,Run the game inpact: Medium\n,,
ttGFXSET_Vsync_h,,Tooltip,,Vertical Synchronization,,
ttGFXSET_Vsync_b,,Tooltip,,Combats screen tearinformance Impact: Low\n,,
ttGFXSET_AA_h,,Tooltip,,Anti-Aliasing,,
ttGFXSET_AA_b,,Tooltip,,Removes jagged edges from object.\nPerformance Impact: Medium\n,,
ttGFXSET_TexQuality_h,,Tooltip,,Texture Quality,,
ttGFXSET_TexQuality_b,,Tooltip,,Saves video meact: Medium\n,,
ttGFXSET_ReflectionQuality_h,,Tooltip,,Reflection Quality,,
ttGFXSET_ReflectionQuality_b,,Tooltip,,How good rpact: Very High\n,,
ttGFXSET_ReflectionDistance_h,,Tooltip,,Reflection Distance,,
ttGFXSET_ReflectionDistance_b,,Tooltip,,The maximume Impact: Very High\n,,
ttGFXSET_TreeQuality_h,,Tooltip,,Tree Quality,,
ttGFXSET_TreeQuality_b,,Tooltip,,Overall quality of the trees Impact: High\n,,
ttGFXSET_ShadowDistance_h,,Tooltip,,Shadow Distance,,
ttGFXSET_ShadowDistance_b,,Tooltip,,Quality and dis High\n,,
ttGFXSET_WaterQuality_h,,Tooltip,,Water Quality,,
ttGFXSET_WaterQuality_b,,Tooltip,,Layers and effects oc Medium\n,,
ttGFXSET_ImageEffects_h,,Tooltip,,Image Effects,,
ttGFXSET_ImageEffects_b,,Tooltip,,Use advanced image effects t: Medium\n,,
ttGFXSET_ReflectedShadows_h,,Tooltip,,Reflected Shadows,,
ttGFXSET_ReflectedShadows_b,,Tooltip,,Shadows are processed anmpact: High\n,,
ttGFXSET_Tonemapping_h,,Tooltip,,Tonemapping,,
ttGFXSET_Tonemapping_b,,Tooltip,,Enhances the colors in game t: Low\n,,
ttGFXSET_DOF_h,,Tooltip,,Depth of Field,,
ttGFXSET_DOF_b,,Tooltip,,Distant objects get blurred.\nPerformance Impact: Medium\n,,
ttGFXSET_SunShafts_h,,Tooltip,,Sun Shafts,,
ttGFXSET_SunShafts_b,,Tooltip,,Aka. God Rays.  Shines rays of  Impact: Medium\n,,
ttGFXSET_HudSize_h,,Tooltip,,HUD Size,,
ttGFXSET_HudSize_b,,Tooltip,,The size of the heads up : None\n,,
ttGFXSET_ShowCrosshair_h,,Tooltip,,Show Crosshair,,
